quantity;artist;album;genre;preis;monat;
1;Cannibal Corpse;Tomb Of The Mutilated;Death Metal;CHF 55;Aug 19;
1;Devourment;Obscene Majesty;Death Metal;CHF 25;Aug 19;
1;Knocked Loose;A Different Shade Of Blue;Hardcore;CHF 20;Aug 19;
1;Time And Pressure;The Gateway City Sound;Hardcore;CHF 25;Sep 19;
1;Witch Vomit;Buried Deep In A Bottomless Grave;Death Metal;CHF 20;Sep 19;
1;Guilt Trip;River Of Lies;Hardcore;CHF 20;Sep 19;
1;Coffins;Beyond The Circular Demise;Death Metal;CHF 60;Sep 19;
1;Sempiternal Dusk;Cenotaph of Defectuous Creation;Death Metal;CHF 20;Nov 19;
1;Backtrack;Lost In Life;Hardcore;CHF 20;Nov 19;
1;Rotting Out;The Wrong Way;Hardcore;CHF 20;Dez 19;
1;Incantation;Upon The Throne of Apocalypse;Death Metal;CHF 45;Dez 19;
1;Cerebral Rot;Odious Descent Into Decay;Death Metal;CHF 20;Dez 19;
1;Gatecreeper;Sonoran Depravation;Death Metal;CHF 30;Jan 20;
1;Fulci;Tropical Sun;Death Metal;CHF 20;Jan 20;
1;Cannabis Corpse;From Wisdom To Baked;Death Metal;CHF 30;Jan 20;
1;Gatecreeper;Deserted;Death Metal;CHF 70;Jan 20;
1;Cianide;Unhumanized;Death Metal;CHF 35;Feb 20;
1;Blood Incantation;Hidden History Of The Human Race;Death Metal;CHF 50;Feb 20;
1;Genocide Pact;Order of Torment;Death Metal;CHF 30;Feb 20;
1;Burial Invocation;Abiogenesis;Death Metal;CHF 35;Feb 20;
1;Hyperdontia;Nexus of Teeth;Death Metal;CHF 50;Feb 20;
1;Cryptic Brood;Outcome Of Obnoxious Science;Death Metal;CHF 15;Feb 20;
1;Ruin Lust;Choir Of Babel;Death Metal;CHF 20;Mär 20;
1;Ossuarium;Living Tomb;Death Metal;CHF 25;Mär 20;
0;Mortuous;Among The Lost;Death Metal;CHF 20;Mär 20;
1;Pestilent Death;Chapters Of Depravity;Death Metal;CHF 20;Mär 20;
1;Cruciamentum;Charnel Passages;Death Metal;CHF 35;Apr 20;
1;Mortal Wound;Forms Of Unreasoning Fear;Death Metal;CHF 30;Apr 20;
1;Cannibal Corpse;The Bleeding;Death Metal;CHF 30;Mai 20;
1;Malignant Altar;Retribution Of Jealous Gods;Death Metal;CHF 50;Mai 20;
1;Chaotian;Festering Excarnation;Death Metal;CHF 25;Mai 20;
1;Funeral Leech;Death Meditation;Death Metal;CHF 20;Mai 20;
1;Witch Vomit;Poisoned Blood;Death Metal;CHF 15;Jun 20;
